ExpStartDate,AdmittedNum,AppliedNum,WeeksBeforeStart,Budget
10/29/2018,3,61,10,87
10/29/2018,7,84,9,87
10/29/2018,10,90,8,87
10/29/2018,24,118,7,87
10/29/2018,39,132,6,87
10/29/2018,54,131,5,87
10/29/2018,66,138,4,87
10/29/2018,77,126,3,87
10/29/2018,83,117,2,87
1/21/2019,0,7,19,150
1/21/2019,1,12,18,150
1/21/2019,2,20,17,150
1/21/2019,4,25,16,150
1/21/2019,5,41,15,150
1/21/2019,8,59,14,150
1/21/2019,11,86,13,150
1/21/2019,16,103,12,150
1/21/2019,26,115,11,150
1/21/2019,37,137,10,150
1/21/2019,49,154,9,150
1/21/2019,52,154,8,150
1/21/2019,66,170,7,150
1/21/2019,82,184,6,150
1/21/2019,93,189,5,150
1/21/2019,99,197,4,150
1/21/2019,107,185,3,150
1/21/2019,124,182,2,150
1/21/2019,138,158,1,150
4/1/2019,0,2,21,92
4/1/2019,0,4,20,92
4/1/2019,0,6,19,92
4/1/2019,0,11,18,92
4/1/2019,0,12,17,92
4/1/2019,0,16,16,92
4/1/2019,1,19,15,92
4/1/2019,1,21,14,92
4/1/2019,1,25,13,92
4/1/2019,3,46,12,92
4/1/2019,7,61,11,92
4/1/2019,14,75,10,92
4/1/2019,22,83,9,92
4/1/2019,38,113,7,92
4/1/2019,52,116,6,92
4/1/2019,55,122,5,92
4/1/2019,69,130,4,92
4/1/2019,76,122,3,92
4/1/2019,88,118,2,92
4/1/2019,96,99,1,92
6/10/2019,0,1,21,146
6/10/2019,0,6,20,146
6/10/2019,1,16,19,146
6/10/2019,1,27,17,146
6/10/2019,2,35,16,146
6/10/2019,5,44,15,146
6/10/2019,6,47,14,146
6/10/2019,9,51,13,146
6/10/2019,13,70,12,146
6/10/2019,21,87,11,146
6/10/2019,27,98,10,146
6/10/2019,35,109,9,146
6/10/2019,38,101,8,146
6/10/2019,42,103,7,146
6/10/2019,50,117,6,146
6/10/2019,60,116,5,146
6/10/2019,69,121,4,146
6/10/2019,79,125,3,146
6/10/2019,93,123,2,146
6/10/2019,122,127,1,146
8/19/2019,0,8,21,223
8/19/2019,0,19,20,223
8/19/2019,1,32,19,223
8/19/2019,3,46,18,223
8/19/2019,8,54,17,223
8/19/2019,13,60,16,223
8/19/2019,18,74,15,223
8/19/2019,25,74,14,223
8/19/2019,29,81,13,223
8/19/2019,34,93,12,223
8/19/2019,44,114,11,223
8/19/2019,53,128,10,223
8/19/2019,61,139,9,223
8/19/2019,66,160,8,223
8/19/2019,85,164,7,223
8/19/2019,101,178,6,223
8/19/2019,117,203,5,223
8/19/2019,133,222,4,223
8/19/2019,155,236,3,223
8/19/2019,170,230,2,223
8/19/2019,198,227,1,223
10/28/2019,1,13,11,99
10/28/2019,2,31,10,99
10/28/2019,8,48,9,99
10/28/2019,14,62,8,99
10/28/2019,16,80,7,99
10/28/2019,29,89,6,99
10/28/2019,40,102,5,99
10/28/2019,53,108,4,99
10/28/2019,70,108,3,99
10/28/2019,84,116,2,99
10/28/2019,105,112,1,99
1/27/2020,0,4,16,163
1/27/2020,1,16,15,163
1/27/2020,4,31,14,163
1/27/2020,7,48,13,163
1/27/2020,18,61,12,163
1/27/2020,25,78,11,163
1/27/2020,35,82,10,163
1/27/2020,40,96,9,163
1/27/2020,45,108,8,163
1/27/2020,58,121,7,163
1/27/2020,69,146,6,163
1/27/2020,76,155,5,163
1/27/2020,85,158,4,163
1/27/2020,97,164,3,163
1/27/2020,130,176,2,163
1/27/2020,155,175,1,163
4/6/2020,0,1,18,110
4/6/2020,0,2,17,110
4/6/2020,0,3,16,110
4/6/2020,0,3,15,110
4/6/2020,0,3,14,110
4/6/2020,1,11,13,110
4/6/2020,1,17,12,110
4/6/2020,2,23,11,110
4/6/2020,6,46,10,110
4/6/2020,9,60,9,110
4/6/2020,12,64,8,110
4/6/2020,16,71,7,110
4/6/2020,21,83,6,110
4/6/2020,24,82,5,110
4/6/2020,31,87,4,110
4/6/2020,35,97,3,110
4/6/2020,43,92,2,110
4/6/2020,56,85,1,110
6/15/2020,0,2,21,135
6/15/2020,0,3,20,135
6/15/2020,0,3,19,135
6/15/2020,0,3,18,135
6/15/2020,0,6,17,135
6/15/2020,0,10,16,135
6/15/2020,0,15,15,135
6/15/2020,0,16,14,135
6/15/2020,1,17,13,135
6/15/2020,5,26,12,135
6/15/2020,6,64,11,135
6/15/2020,13,122,10,135
6/15/2020,17,154,9,135
